Image Address     , Image Name        , Routine Address   , Routine Name      , Instructions Count
0x400000, loop_test_simple, 0x400870, frame_dummy, 4
0x7fee99c3e000, libc.so.6, 0x7fee99c78030, exit, 4
0x7fee99c3e000, libc.so.6, 0x7fee99cb6b60, _IO_file_stat, 4
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0a92d0, _ZNSt14error_categoryD2Ev@plt, 4
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0a9bc0, __uselocale@plt, 4
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0a90e0, _ZNSt14error_categoryC2Ev@plt, 4
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0aa0a0, _ZNSt7__cxx118numpunctIcE22_M_initialize_numpunctEP15__locale_struct@plt, 3
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0aa030, memcmp@plt, 3
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0a9f80, _ZNSt7__cxx1110moneypunctIcLb1EE24_M_initialize_moneypunctEP15__locale_structPKc@plt, 3
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0a9e70, _ZNSt11__timepunctIwEC1EPSt17__timepunct_cacheIwEm@plt, 3
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0aa7d0, _ZNSt10moneypunctIcLb1EE24_M_initialize_moneypunctEP15__locale_structPKc@plt, 3
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0aabc0, _ZNSt8messagesIcEC1Em@plt, 3
0x400000, loop_test_simple, 0x4009d4, _fini, 3
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0d9870, _ZNSt3_V214error_categoryD1Ev, 3
0x7fee9a021000, libstdc++.so.6, 0x7fee9a156ccc, .fini, 3
0x7fee99c3e000, libc.so.6, 0x7fee99c5d850, _dl_find_dso_for_object@plt, 3
0x7fee99935000, libm.so.6, 0x7fee999abd0c, .fini, 3
0x400000, loop_test_simple, 0x400750, _ZNSt8ios_base4InitD1Ev@plt, 3
0x400000, loop_test_simple, 0x400740, __cxa_atexit@plt, 3
0x400000, loop_test_simple, 0x400730, __libc_start_main@plt, 3
0x400000, loop_test_simple, 0x400720, _ZNSt8ios_base4InitC1Ev@plt, 3
0x7fee99706000, libgcc_s.so.1, 0x7fee997188b8, .fini, 3
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0a90d0, _ZNSt8numpunctIwE22_M_initialize_numpunctEP15__locale_struct@plt, 3
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0a9060, _ZNKSt5ctypeIcE13_M_widen_initEv@plt, 3
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0a8f20, _ZNSt7__cxx1110moneypunctIcLb0EE24_M_initialize_moneypunctEP15__locale_structPKc@plt, 3
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0a92b0, _ZNSt11__timepunctIwE23_M_initialize_timepunctEP15__locale_struct@plt, 3
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0a8c40, _ZNSt5ctypeIwE19_M_initialize_ctypeEv@plt, 3
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0a8bb0, _ZNSt7codecvtIcc11__mbstate_tEC1Em@plt, 3
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0a93c0, __newlocale@plt, 3
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0a9560, _ZNSt10moneypunctIwLb0EE24_M_initialize_moneypunctEP15__locale_structPKc@plt, 3
